cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,int_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
ACT-CLJ1148.0-0234,AGBT21B_298_05,10,83.0,260.0,3.2,2.0,6.0,177.07005443737904,-2.521313526038137,0.0012205365214617927,0.0013036550062116865,83.0000000238804,260.00000001553155,2.999999901589532,0.002106284358844822,0.00012382954508211488,5.057479469445175,82.7812271525756,259.6599874377187,2.3081859080215748,4.837127600491372,4.5379180908203125,0.0,0.00027133594267070293,819166.75,202,ACT-CLJ1148.0-0234,0.0001135012878991,1.0909501792393674,-0.1767019077880091,0.0,3590.166225035336,-0.0086615807242193,0.9376539077756196,20.0
ACT-CLJ1148.0-0234,AGBT21B_298_05,10,139.0,275.0,3.2,2.0,6.0,177.03891311724257,-2.5129808788918355,0.001118144305403398,0.0013718184392354758,138.99999995280913,275.0000000111481,3.000000052378932,0.0022164146176968068,0.00012382265888323827,4.432532637630581,138.26696204875432,275.296197469587,2.6259377241222577,5.486970581233633,3.581082820892334,0.0,0.0002735297894105315,696096.25,202,ACT-CLJ1148.0-0234,0.0001135012878991,1.0909501792393674,-0.1767019077880091,0.0,3590.166225035336,-0.0086615807242193,0.9376539077756196,20.0
ACT-CLJ1148.0-0234,AGBT21B_298_05,10,101.0,116.0,5.120000000000001,2.0,6.0,177.060046886912,-2.6013137947451432,0.0007407977254486723,0.0013459588256625886,100.99999989664072,115.99999996378374,3.0000001057314694,0.002174633928806771,0.00012381773015878312,4.6455320607761355,100.68365747949349,116.08466662543745,3.212039052680634,8.604169167031397,4.579195976257324,0.0,0.00023255975975189358,936899.125,202,ACT-CLJ1148.0-0234,0.0001135012878991,1.0909501792393674,-0.1767019077880091,0.0,3590.166225035336,-0.0086615807242193,0.9376539077756196,20.0
ACT-CLJ1148.0-0234,AGBT21B_298_08,39,165.0,207.0,3.2,2.0,6.0,177.02274574235526,-2.5508388041412395,0.000437300848098727,0.0003347471829931993,164.99999999489205,206.99999999828754,2.9999999209657586,0.0005408430615877364,4.712160915387242e-05,47.20687259014516,165.20925342727614,207.34272670986158,2.6203910344372883,58.1901242496767,45.06325912475586,0.0,6.3561301431036554e-06,1816174464.0,202,ACT-CLJ1148.0-0234,0.0001135012878991,1.0909501792393674,-0.1767019077880091,0.0,3590.166225035336,-0.0086615807242193,0.9376539077756196,20.0
ACT-CLJ1148.0-0234,AGBT21B_298_08,39,266.0,141.0,5.120000000000001,2.0,6.0,176.9665773355388,-2.587504154522223,0.001028764697499901,0.00019452429773387692,266.0,141.0,3.0,0.00031428829764055616,4.712160915387242e-05,7.065413803170391,266.54017973993393,140.8287036847449,4.375821751400049,24.28671033050816,5.495620250701904,0.0,1.8858052499126643e-05,118037264.0,202,ACT-CLJ1148.0-0234,0.0001135012878991,1.0909501792393674,-0.1767019077880091,0.0,3590.166225035336,-0.0086615807242193,0.9376539077756196,20.0
ACT-CLJ1152.2+0031,AGBT21B_298_05,11,155.0,203.0,5.120000000000001,2.0,6.0,178.06181142771115,0.5451600948475986,0.0004032997019226303,7.688928963034414e-05,154.99999999959982,203.0000000000291,3.0000000023210305,0.00012422820317883863,4.712160915387242e-05,4.700942646926607,149.4931605447716,201.3925743168591,6.060576970755541,30.99736235739647,3.3965415954589844,0.0,1.1506572263897397e-05,516905536.0,203,ACT-CLJ1152.2+0031,0.0001366088697352,1.1283463635078133,-0.1343612000412485,0.009525986892242,2925.4179020981064,-0.0127130409333001,1.0608316795693666,20.0
ACT-CLJ1152.2+0031,AGBT21B_298_05,11,180.0,200.0,5.120000000000001,2.0,6.0,178.0479219136241,0.5434934213628301,0.00040770494527612083,9.997596671455242e-05,179.99999999907638,200.0000000003618,2.999999995597839,0.0001615287995253826,4.403836720397015e-05,4.6509607862500175,181.02144246558578,191.21178350710966,6.690540612843884,37.3746337467145,4.871764183044434,0.0,1.2760088793584146e-05,414267584.0,203,ACT-CLJ1152.2+0031,0.0001366088697352,1.1283463635078133,-0.1343612000412485,0.009525986892242,2925.4179020981064,-0.0127130409333001,1.0608316795693666,20.0
ACT-CLJ1152.2+0031,AGBT21B_298_05,11,162.0,195.0,5.120000000000001,2.0,6.0,178.057922363,0.5407156521255843,0.0003199770263601723,8.846710989018902e-05,162.0,195.0,3.0,0.00014293421278716356,4.712160915387242e-05,4.641142354455333,181.1202200742444,191.2644215964686,6.6900621418214135,37.29039967243176,3.7235820293426514,0.0,1.1720081602106802e-05,498932960.0,203,ACT-CLJ1152.2+0031,0.0001366088697352,1.1283463635078133,-0.1343612000412485,0.009525986892242,2925.4179020981064,-0.0127130409333001,1.0608316795693666,20.0
ACT-CLJ1152.2+0031,AGBT21B_298_05,11,172.0,221.0,5.120000000000001,2.0,6.0,178.0523665474376,0.5551600913598461,0.0005802390919085521,7.552720370743258e-05,171.99999999994228,220.99999999988978,3.0000000019745325,0.00012202751320290882,4.403818156652233e-05,4.180573155471086,172.8279617085665,226.5671497367082,5.6924040330456105,24.318630155448055,2.9703028202056885,0.0,1.3569659131462686e-05,338557248.0,203,ACT-CLJ1152.2+0031,0.0001366088697352,1.1283463635078133,-0.1343612000412485,0.009525986892242,2925.4179020981064,-0.0127130409333001,1.0608316795693666,20.0
ACT-CLJ1152.2+0031,AGBT21B_298_05,11,172.0,194.0,5.120000000000001,2.0,6.0,178.05236656069917,0.5401600940724346,0.0003250783249873953,8.298396637153954e-05,171.9999999999172,194.00000000011454,3.0000000009753243,0.00013407522784125944,4.40383618830248e-05,4.647486357746669,181.1521195998569,191.2510810411571,6.70399716345592,37.49709407711441,2.764753818511963,0.0,1.2383623470668681e-05,455864352.0,203,ACT-CLJ1152.2+0031,0.0001366088697352,1.1283463635078133,-0.1343612000412485,0.009525986892242,2925.4179020981064,-0.0127130409333001,1.0608316795693666,20.0
ACT-CLJ1152.2+0031,AGBT21B_298_05,11,163.0,220.0,5.120000000000001,2.0,6.0,178.05736678149114,0.5546045385533522,0.0005624674067455484,6.364568729204098e-05,162.99999999953656,219.99999999932606,2.9999999989654236,0.0001028308284898574,4.4038575562628564e-05,4.179312835948972,172.84725404503666,226.57452053979054,5.692808438502701,24.31475322348908,2.2649991512298584,0.0,1.3288083209772594e-05,347929024.0,203,ACT-CLJ1152.2+0031,0.0001366088697352,1.1283463635078133,-0.1343612000412485,0.009525986892242,2925.4179020981064,-0.0127130409333001,1.0608316795693666,20.0
ACT-CLJ1152.2+0031,AGBT21B_298_05,11,156.0,213.0,5.120000000000001,2.0,6.0,178.0612558499865,0.5507156497518427,0.0004979203795339802,7.037450632196851e-05,156.00000000035652,212.99999999975444,3.000000001369699,0.00011370242209886521,4.712160915387242e-05,4.737832400235361,149.5489589161669,201.43289641941067,6.032514391777688,30.95196830449533,2.2260141372680664,0.0,1.252714264410315e-05,391352192.0,203,ACT-CLJ1152.2+0031,0.0001366088697352,1.1283463635078133,-0.1343612000412485,0.009525986892242,2925.4179020981064,-0.0127130409333001,1.0608316795693666,20.0
ACT-CLJ1152.5+0356,AGBT21B_298_05,12,245.0,162.0,3.2,2.0,6.0,178.10079800612854,3.941533240740702,0.0008047905563780913,0.00460777144818636,244.99999786850185,161.99999941778256,2.9999875596109478,0.007444605382163805,0.0001285306586040934,21.71181892871014,244.66400092704035,162.27378943107263,2.5281636432762946,24.912563381883803,20.183570861816406,0.0,0.00019948241242673248,1659446.75,204,ACT-CLJ1152.5+0356,0.0001377223874885,1.124282642651411,-0.0760570509934912,0.0009525986892242,2914.660062241303,-0.0099634776965415,1.0721552310169007,20.0
ACT-CLJ1152.5+0356,AGBT21B_298_05,12,65.0,119.0,5.120000000000001,2.0,6.0,178.20103352043404,3.9176438956131836,0.001028810390896808,0.0027645487317475882,64.99999992873674,118.99999984007539,3.0000010598378557,0.004466619022258708,0.00012856226047774,2.2021031118572227,66.65214522015424,117.8576436194403,14.921994648354568,88.02413928831066,4.804776191711426,0.0,0.00036310224095359445,559410.3125,204,ACT-CLJ1152.5+0356,0.0001377223874885,1.124282642651411,-0.0760570509934912,0.0009525986892242,2914.660062241303,-0.0099634776965415,1.0721552310169007,20.0
ACT-CLJ1153.4+0259,AGBT21B_298_05,14,244.0,237.0,3.2,2.0,6.0,178.3278244364141,3.026593833871557,0.0010775082405650054,0.002699790544356787,244.00000000304505,236.99999992744543,3.0000002764914866,0.004361988401763227,0.00012591669707208688,8.519391249697216,244.08792706455174,236.78153059450585,2.892414464151439,12.795034400164651,8.235675811767578,0.0,0.00025203003315255046,982578.3125,205,ACT-CLJ1153.4+0259,0.0001369934396505,1.0888893064842344,-0.0245565682277953,0.0228623685413808,3076.937562837212,-0.0204044669647369,1.0076583020256558,20.0
ACT-CLJ1154.2+0221,AGBT21B_298_05,15,247.0,89.0,5.120000000000001,2.0,6.0,178.52204456902498,2.3173514348035473,0.0010864150276831245,0.00184710689873686,247.00000007843673,88.99999980358903,3.0000010407237276,0.002984328910598075,0.00012571982088230418,2.825331592454467,246.8453218038412,88.42022710443354,4.915521969134322,12.255204247044041,2.127584218978882,0.0,0.00045291573042050004,333420.5,206,ACT-CLJ1154.2+0221,0.0001367391883116,1.1162125938276517,-0.1941964754346485,0.0019051973784484,3046.943304705756,-0.0562941437388744,1.0280682932126206,20.0
ACT-CLJ1154.2+0221,AGBT21B_298_05,15,274.0,163.0,5.120000000000001,2.0,6.0,178.50703046924573,2.3584619361074903,0.0010860255310844026,0.0013694443041458726,274.0,163.0,3.0,0.002212578706503702,4.712160915387242e-05,3.427797236308438,274.41798743698035,162.05697085061817,2.9199154277361066,5.246473877553475,3.0393214225769043,0.0,0.0003169152478221804,679369.25,206,ACT-CLJ1154.2+0221,0.0001367391883116,1.1162125938276517,-0.1941964754346485,0.0019051973784484,3046.943304705756,-0.0562941437388744,1.0280682932126206,20.0
ACT-CLJ1158.3+0228,AGBT21B_298_05,16,197.0,65.0,5.120000000000001,2.0,6.0,179.5790032208431,2.4166975247564406,0.0009998919138835916,0.0018309217783977006,197.00000005708566,65.00000000756842,3.000000703027237,0.0029581783111312346,0.00011996680651660553,2.768726973054315,198.00293983283348,64.78910334169042,5.937051129476962,17.519977931846537,2.70916485786438,0.0,0.0003602027427405119,514489.0,207,ACT-CLJ1158.3+0228,0.00011879596639,0.9635560847560258,0.0048488974443913,0.0266753043842768,3118.306601389366,-0.0012038721222737,1.00116835613192,20.0
ACT-CLJ1158.9-0244,AGBT21B_298_05,17,181.0,173.0,3.2,2.0,6.0,179.72347165468824,-2.741718756291021,0.00021287682566459222,0.014695569817844872,180.99998075968477,172.99998833593546,2.9999141984364863,0.023741925749866763,0.00012836576786844954,127.82537869831715,180.82094017274687,173.09292893994765,2.765306635304833,175.4751104904648,124.03399658203125,0.0,0.00010083030065288767,5985214.0,208,ACT-CLJ1158.9-0244,0.0001216819229988,1.030141424744852,0.0333441645619809,0.0,2977.1607345898647,-0.0234898334004501,1.0464624153972124,20.0
ACT-CLJ1200.9-0125,AGBT21B_298_05,18,169.0,208.0,3.2,2.0,6.0,180.22917267951598,-1.4088157944745574,0.0004511633304079606,0.0038812819502618283,168.99999920773192,207.99999809943554,2.999991325170103,0.006270858995096696,0.0001267319833235706,39.23538194016787,169.07235655972968,207.69999088769518,2.7106413132551843,51.75279815264722,38.24250793457031,0.0,8.779266499914229e-05,7946691.0,209,ACT-CLJ1200.9-0125,0.0001247489085823,1.0435684299782322,-0.1484429880100976,0.0,3021.445686464715,-0.0475628356460633,1.035611568726433,20.0
ACT-CLJ1202.8-0230,AGBT21B_298_05,20,244.0,163.0,5.120000000000001,2.0,6.0,180.67342566214268,-2.5014010697965703,0.0007951534101115511,0.0024344195858534987,244.00000028784035,162.9999991630238,2.999998274397929,0.003933229504545364,0.0001162574236817902,15.07800449065115,244.65285522055913,162.49582087242018,2.872003219362851,22.326752502485785,14.321547508239746,0.0,0.00013612801558338106,2896097.5,210,ACT-CLJ1202.8-0230,0.0001226479169841,0.9658492021669411,0.0302326308111056,0.0,3191.607519607048,0.0129370968343017,0.9753056652650332,20.0
ACT-CLJ1202.8-0230,AGBT21B_298_05,20,95.0,249.0,5.120000000000001,2.0,6.0,180.75628101925113,-2.4536235754044893,0.0010647370059624138,0.0006099956587834123,94.99999996191572,248.9999999128233,3.0000000110035128,0.00098555553628474,0.00011627197063797203,3.6547160627992663,95.44715962318107,247.54313406822376,2.9755702800254014,5.809060662019377,2.511125326156616,0.0,0.00016370891535189003,2836624.0,210,ACT-CLJ1202.8-0230,0.0001226479169841,0.9658492021669411,0.0302326308111056,0.0,3191.607519607048,0.0129370968343017,0.9753056652650332,20.0
ACT-CLJ1203.9+0126,AGBT21B_298_05,21,126.0,167.0,5.120000000000001,2.0,6.0,181.00905054697216,1.4445627869364315,0.00035241652444254525,0.0008658575346868051,125.9999998782309,166.99999996664505,2.999999836357628,0.0013989453454312385,9.952940537051475e-05,12.69719412474173,125.47571752959915,167.14502260731223,2.7502516623128646,17.24108036513436,11.978965759277344,0.0,6.211332220118493e-05,17012608.0,211,ACT-CLJ1203.9+0126,0.0001484328706489,1.263906301106244,-0.1520895647995525,0.0352605948557651,2878.528670754236,-0.0213212730899179,1.0962995629811707,20.0
ACT-CLJ1203.9+0126,AGBT21B_298_05,21,186.0,64.0,5.120000000000001,2.0,6.0,180.9757069519746,1.387340630171548,0.0009783147996473194,0.002248873782062593,185.99999996082298,63.9999997879977,3.000000094575024,0.0036334523006647515,9.951721759320545e-05,5.773404168167157,186.05715841913897,64.2050278728816,2.9094468640078173,8.773334064161807,5.596848011016846,0.0,0.00032133786589838564,533830.25,211,ACT-CLJ1203.9+0126,0.0001484328706489,1.263906301106244,-0.1520895647995525,0.0352605948557651,2878.528670754236,-0.0213212730899179,1.0962995629811707,20.0
ACT-CLJ1203.9+0126,AGBT21B_298_05,21,68.0,204.0,5.120000000000001,2.0,6.0,181.04128347195066,1.4651178210295248,0.000998292162143574,0.0006428479682654142,68.0,204.0,3.0,0.0010386342268883647,4.712160915387242e-05,2.9389100528667638,67.27255901266456,205.06803306845924,4.639532433947557,11.356553984896193,2.195185661315918,0.0,0.00014414942415896803,3840019.5,211,ACT-CLJ1203.9+0126,0.0001484328706489,1.263906301106244,-0.1520895647995525,0.0352605948557651,2878.528670754236,-0.0213212730899179,1.0962995629811707,20.0
ACT-CLJ1205.5+0214,AGBT21B_298_05,23,169.0,162.0,3.2,2.0,6.0,181.38218599703646,2.2479309983893776,6.787391689432497e-05,0.011114099176005315,168.99998656432595,161.99999385211086,2.9999499088304806,0.01795618698958155,0.00011692235041254404,118.70888104423257,168.7117854122587,162.19469475070758,2.791465631001918,166.0579325533294,116.2174072265625,0.0,8.24866583570838e-05,9599058.0,213,ACT-CLJ1205.5+0214,0.0001312605961376,1.09237812049802,-0.109459859466224,0.0,2857.3848267095923,-0.0025647027335442,1.094717075207834,20.0
ACT-CLJ1208.3+0254,AGBT21B_298_05,24,178.0,173.0,3.2,2.0,6.0,182.08037873238672,2.919698884679048,0.0001882675812031563,0.005317440554599062,177.99999762533304,172.99999832000913,2.999987164989554,0.008591189168737209,0.00011971840955242409,40.05658153751021,177.86093399083416,173.0834420103732,2.720141795908851,53.20700528559084,39.27511978149414,0.0,0.00011582912702579051,7039536.5,214,ACT-CLJ1208.3+0254,0.0001447710062193,1.1137111879237818,-0.2277836190119628,0.0,2999.675539638892,-0.0750610981094841,1.025193395017257,20.0
