,cluster,ra_deg,dec_deg,dist_center_radians,amp_fit,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,dist_center_radians,Component_name_vlass,Component_id_vlass,RA_vlass,DEC_vlass,Total_flux_vlass,RA_first,DEC_first,FINT_first,Name_gleam,RAJ2000_gleam,DEJ2000_gleam,int_flux_wide_gleam,Source_name_tgss,RA_tgss,DEC_tgss,Total_flux_tgss,ra_wise,dec_wise,w1_flux_wise,w2_flux_wise,w3_flux_wise,w4_flux_wise,ra_2mass,dec_2mass,j_flux_2mass,h_flux_2mass,k_flux_2mass
1873,ACT-CLJ1347.7+0124,206.9508247661672,1.4497733904354173,0.0007207272439603,0.0008703629819292,0.0094144706148347,1.7353885993796407e-05,5.657482147216797,0.4439237160226138,0.0007207272439603,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ACT-CLJ0208.3-0255,32.11484212264383,-2.9860103116238395,0.0009501356053482,0.0020734514581595,0.0091249653864043,2.665877336919271e-05,10.032310485839844,1.4816386369882295,0.0009501356053482,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,ACT-CLJ0217.8-0048,34.51476454305412,-0.778521632332773,0.0011255193378345,0.0809309696938285,0.0233372047793778,0.0002439927667882,13.889079093933104,107.12706832765367,0.0011255193378345,,,,,,,,,,,,,,,,,34.5158452,-0.7799686,0.0575859821459391,0.0331887041275386,0.3322790134711107,1.698095444072063,,,,,
332,ACT-CLJ0218.1-0214,34.59105774782377,-2.248744234478427,0.0011162087078469,0.0051399864282228,0.0055296074772542,3.424068084714649e-05,9.43132495880127,4.530710063331476,0.0011162087078469,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,ACT-CLJ0218.5-0114,34.64362208329916,-1.1789933084095,0.0011346292905301,0.0054205327598215,0.0054583194337728,3.457371392874375e-05,8.776860237121582,4.78682841766287,0.0011346292905301,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,ACT-CLJ0219.8+0022,34.959277056832164,0.3103194568885645,0.0010958501092028,0.0026872664858815,0.0691920732994342,3.902761531657384e-05,7.754005908966064,1.908916895440829,0.0010958501092028,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,ACT-CLJ0220.9-0332,35.30070831557575,-3.564882849435791,0.0011149023880059,0.0028220418764934,0.0063824361929971,3.021946668283628e-05,9.80240535736084,2.0320113052125097,0.0011149023880059,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,ACT-CLJ0221.7-0346,35.46836163552152,-3.7183467744208274,0.0010623944464583,0.0060234609791436,-0.0031876114954027,3.5309531995810574e-05,8.264845848083496,5.507086312015554,0.0010623944464583,,,,,,,,,,,,,,,,,35.4693556,-3.718113,0.0327127291801995,0.0285358159647763,0.2201420023530757,1.6717144513263829,,,,,
469,ACT-CLJ0221.7-0346,35.50399481321643,-3.755011589231661,0.0011387648499153,0.0050104431306446,-0.0054644701306179,3.4669105304612845e-05,8.543298721313477,4.372833793458577,0.0011387648499153,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,ACT-CLJ0221.7-0346,35.50065739780516,-3.800011796716692,0.0011411154124539,0.3510088398787299,0.0016410649894159,0.0086276126772589,9.9964017868042,-931.7904815942472,0.0011411154124539,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,ACT-CLJ0221.9-0340,35.54846297874947,-3.668777881870625,0.0011442009009642,0.0100904749354285,0.027117931731709,4.518131640624232e-05,18.01706886291504,9.728879987919557,0.0011442009009642,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,ACT-CLJ0221.9-0340,35.54178171201588,-3.654889464537816,0.0010582713850374,0.0040662234257735,0.023725717549769,3.857295147409723e-05,18.01706886291504,3.477175214373144,0.0010582713850374,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,ACT-CLJ0221.9-0340,35.54234110313472,-3.695444960399153,0.0011331782790606,0.3970292998790303,0.020366845024108,0.005385654062798,16.69810676574707,-749.868314567923,0.0011331782790606,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,ACT-CLJ0248.3-0337,42.09118590588496,-3.572524629594026,0.0009019617220212,0.0025862821799795,-0.001284788382357,1.7666470085332033e-05,11.816636085510254,2.040514732557611,0.0009019617220212,VLASS1QLCIR J024821.91-033425.3,70.0,42.091301893043216,-3.57369981348024,6.41040945369,42.091218345122,-3.573777808672343,8.502087,GLEAM J024821-033435,42.09054,-3.5765367,0.2831362,TGSSADR J024821.8-033432,42.09118,-3.57558,266.1,42.091252,-3.5737246,0.6390234244961829,0.5126138022113047,0.4360164879229922,1.4613764242600626,42.091212,-3.573731,0.6033886328701396,0.6813969287728311,0.7306776678117757
1016,ACT-CLJ0839.5-0150,129.93082409390303,-1.838988354321534,0.0008761052037803,0.0017587231458758,-0.0146005773483247,2.449055071978902e-05,7.061089515686035,1.1119012007465874,0.0008761052037803,,,,,,129.9294454867236,-1.8377610070480728,0.91447157,,,,,,,,,129.932718,-1.8380725,8.572683267282693,4.636500334555367,0.9565395079201336,2.0756881061249843,129.932793,-1.83806,29.013299709125068,24.694496276709035,17.787947292358275
1040,ACT-CLJ0845.4+0327,131.4246268317899,3.4976459325171274,0.0011113972630688,0.0027935943260014,-0.0017627370358096,2.7222129614946547e-05,7.76926326751709,2.0051032020328656,0.0011113972630688,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,ACT-CLJ0857.8+0310,134.51246657767146,3.137560852775336,0.0010454000473698,0.0019865135345343,0.0296703230414935,2.775286399076261e-05,7.244823932647705,1.34555975412276,0.0010454000473698,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,ACT-CLJ0916.8-0059,139.16960538693414,-0.9589713725853432,0.0011187327355912,0.002998966229266,-0.0001689655598033,2.636217054784e-05,8.910901069641113,2.2283405714861213,0.0011187327355912,,,,,,,,,,,,,,,,,,,,,,,,,,,
