,cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type
420,ACT-CLJ0220.9-0332,all,0,51.0,132.0,3.2,2.0,6.0,35.30070831557575,-3.564882849435791,0.0011149023880059,0.0028220418764934,50.0,131.0,3.000022900800846,1.8965550253996104e-05,0.0063824361929971,3.021946668283628e-05,9.80240535736084,2.822041876493422,7.598078727722168,0.0,0.0004504171665757,375837.09375,ACT-CLJ0220.9-0332,0.0002245679170055,1.3101589162697858,-0.3494651836986077,0.0152441929152613,11178.302285793612,5.134174718720712e-05,-0.0706636310630221,417.81912370776416,21.0
468,ACT-CLJ0221.7-0346,all,0,113.0,260.0,5.120000000000001,2.0,6.0,35.46836163552152,-3.7183467744208274,0.0010623944464583,0.0060234609791436,112.0,259.0,3.0000020379455545,-0.0001344190111218,-0.0031876114954027,3.5309531995810574e-05,8.264845848083496,6.023460979143621,7.869274616241455,0.0,0.000542739580851,287574.875,ACT-CLJ0221.7-0346,0.0002099765617591,0.9061931837825332,0.0062189351657895,0.0,11526.521201506244,-5.919305572793727e-07,-0.0781804322880538,396.4150857627415,21.0
469,ACT-CLJ0221.7-0346,all,0,49.0,194.0,3.2,2.0,6.0,35.50399481321643,-3.755011589231661,0.0011387648499153,0.0050104431306446,48.0,193.0,3.000016076052676,-0.0001410800730854,-0.0054644701306179,3.4669105304612845e-05,8.543298721313477,5.010443130644612,8.076020240783691,0.0,0.0005766670801676,318303.875,ACT-CLJ0221.7-0346,0.0002099765617591,0.9061931837825332,0.0062189351657895,0.0,11526.521201506244,-5.919305572793727e-07,-0.0781804322880538,396.4150857627415,21.0
517,ACT-CLJ0221.9-0340,all,0,44.0,163.0,5.120000000000001,2.0,6.0,35.54846297874947,-3.668777881870625,0.0011442009009642,0.0100904749354285,40.0,162.0,3.3007383166995017,7.68100655370416e-05,0.027117931731709,4.518131640624232e-05,18.01706886291504,10.09047493542855,12.50580596923828,0.0,0.0004772223182953,199555.9375,ACT-CLJ0221.9-0340,0.0002171845349296,1.4369432883804816,-0.2951981970620195,0.0963087984285455,10529.076883317057,7.6644323243039e-05,-0.0692536396511964,426.1504348830863,21.0
518,ACT-CLJ0221.9-0340,all,0,56.0,188.0,3.2,2.0,6.0,35.54178171201588,-3.654889464537816,0.0010582713850374,0.0040662234257735,55.0,187.0,3.0000116642627246,0.0001784954721796,0.023725717549769,3.857295147409723e-05,18.01706886291504,4.066223425773557,13.812305450439451,0.0,0.0003642313240561,219489.984375,ACT-CLJ0221.9-0340,0.0002171845349296,1.4369432883804816,-0.2951981970620195,0.0963087984285455,10529.076883317057,7.6644323243039e-05,-0.0692536396511964,426.1504348830863,21.0
519,ACT-CLJ0221.9-0340,all,0,55.0,115.0,3.2,2.0,6.0,35.54234110313472,-3.695444960399153,0.0011331782790606,0.3970292998790303,51.0,113.0,0.2758678803002387,0.0001671253958325,0.020366845024108,0.005385654062798,16.69810676574707,397.0292998790303,15.097467422485352,0.0,0.0003381155547685,263449.0625,ACT-CLJ0221.9-0340,0.0002171845349296,1.4369432883804816,-0.2951981970620195,0.0963087984285455,10529.076883317057,7.6644323243039e-05,-0.0692536396511964,426.1504348830863,21.0
947,ACT-CLJ0248.3-0337,all,0,160.0,255.0,5.120000000000001,2.0,6.0,42.09118590588496,-3.572524629594026,0.0009019617220212,0.0025862821799795,159.0,254.0,2.999998067526491,-5.684251323686936e-05,-0.001284788382357,1.7666470085332033e-05,11.816636085510254,2.586282179979521,11.816636085510254,0.0,0.0001764348417054,2385355.5,ACT-CLJ0248.3-0337,0.0001406488078852,1.3073798197196291,0.3101230146222101,0.0,16964.02512546869,-0.0007637812904219,-0.0658334231586739,428.26760637692826,21.0
1011,ACT-CLJ0839.5-0150,all,0,72.0,170.0,3.2,2.0,6.0,129.93082409390303,-1.838988354321534,0.0008761052037803,0.0017587231458758,71.0,169.0,3.0000007032200866,-0.0001814725564608,-0.0146005773483247,2.449055071978902e-05,7.061089515686035,1.7587231458758112,7.061089515686035,0.0,0.0002017900987993,1148645.875,ACT-CLJ0839.5-0150,0.0001623959144616,1.2976571592039603,0.1572786416350843,0.029542379019193,10527.302693766836,-0.0006443814691469,-0.071960068860507,426.0944365356769,21.0
1035,ACT-CLJ0845.4+0327,all,0,69.0,229.0,5.120000000000001,2.0,6.0,131.4246268317899,3.4976459325171274,0.0011113972630688,0.0027935943260014,68.0,228.0,3.000011061367591,-6.530053377439678e-05,-0.0017627370358096,2.7222129614946547e-05,7.76926326751709,2.793594326001437,7.657216072082519,0.0,0.0003582765639293,440967.25,ACT-CLJ0845.4+0327,0.0001629955608853,1.1259835734477286,-0.3644503750183329,0.0,10590.985038369456,0.0007441988992612,-0.0769984670116494,418.4024255167011,21.0
1135,ACT-CLJ0857.8+0310,all,0,80.0,92.0,5.120000000000001,2.0,6.0,134.51246657767146,3.137560852775336,0.0010454000473698,0.0019865135345343,80.0,91.0,2.999995815510088,0.0002753052543584,0.0296703230414935,2.775286399076261e-05,7.244823932647705,1.986513534534376,5.625277519226074,0.0,0.0002609693328849,586793.75,ACT-CLJ0857.8+0310,0.0001590806922576,1.3572609997742269,0.1581584278465338,0.0733542917023911,10606.850307557785,-0.0011327456656692,-0.06961870860541,431.66031229436265,21.0
1217,ACT-CLJ0916.8-0059,all,0,258.0,226.0,3.2,2.0,6.0,139.16960538693414,-0.9589713725853432,0.0011187327355912,0.002998966229266,257.0,225.0,2.99998845061832,-5.217004562756097e-05,-0.0001689655598033,2.6362170547839996e-05,8.910901069641113,2.998966229266091,8.910901069641113,0.0,0.0003403482842259,439845.25,ACT-CLJ0916.8-0059,0.000142113840488,1.1816606792458773,-0.0551211175957524,0.004763447211478,10825.537197181786,-5.466707398549732e-05,-0.0734697897694569,423.2929923447391,21.0
1639,ACT-CLJ1144.0+0440,all,0,245.0,81.0,5.120000000000001,2.0,6.0,175.98126457205635,4.633519183816854,0.0011245164997485,0.0028877153637599,244.0,80.0,3.0000035980065314,0.0001518163332941,0.019257343606902,3.050145728439429e-05,7.651703357696533,2.887715363759978,7.020523071289063,0.0,0.0004094410105608,320938.90625,ACT-CLJ1144.0+0440,0.0001373544956957,1.0347371051437355,-0.0404767808210138,0.0,10613.260381908598,-0.0013921135942979,-0.0767396716163136,416.18445234128353,21.0
1678,ACT-CLJ1152.2+0031,all,0,100.0,93.0,5.120000000000001,2.0,6.0,178.0934666536072,0.4830538632011858,0.000899456559257,0.0023881667038338,99.0,92.0,3.00000289308696,-9.554430726350725e-05,-0.0053246615053803,2.4801256177776483e-05,7.825675010681152,2.3881667038338885,7.700949192047119,0.0,0.0002342512161703,1129542.5,ACT-CLJ1152.2+0031,0.0001456078774527,1.1292356119665237,-0.2659139209094161,0.0066689531648946,10860.997154922024,-0.0010697349348707,-0.0744736151489119,415.6629902953665,21.0
