cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,snr,masked,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,red_type
ACT-CLJ0201.6-0211,197.0,184.0,5.0,7.0,30.415479705764323,-2.195285499927912,0.003828850755378682,198.88102635073702,184.19106964403392,1.4402894163618787,2.497549213485594,21821.59745316414,-6.051024218108698e-06,3.14385986328125,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,141.0,230.0,5.0,7.0,30.44661346537887,-2.169730030519939,0.029674761980444126,139.89234718792906,227.2096054116009,0.22836105519141392,1.4801149549723909,8150.958341287773,-5.896182697383516e-06,5.880088806152344,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,170.0,223.0,5.0,7.0,30.43049078689051,-2.173618956439765,0.002920286342325129,168.25043789103773,222.96953632687334,3.122329836490154,3.2073847987422903,45823.52319297496,-6.974556176490475e-06,2.38380765914917,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,226.0,218.0,5.0,7.0,30.399357217532955,-2.1763963206702113,0.015218310835154129,223.38175341573773,215.5395162587646,1.4958538667455918,2.680662658600529,2491.101906043019,-8.878839912403791e-06,5.905600547790527,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,212.0,206.0,5.0,7.0,30.407140481866325,-2.183063148504296,0.39906176704224716,214.44623853594888,206.02023766595133,0.8129103010667604,0.11453965396362759,-15494.897293054277,-6.389997857619336e-06,6.073761463165283,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,233.0,190.0,5.0,7.0,30.395465110405677,-2.191951773506011,0.030485982165162618,232.11741804552082,190.36301784379637,1.1262374918076827,0.9781197444693859,11516.78192155093,-7.2360464584557135e-06,8.386237144470215,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,169.0,133.0,5.0,7.0,30.43104661146377,-2.2236189546920633,0.0025604982730794866,169.03361627336727,132.03910472667266,3.1029671152422247,2.3882046336025122,16324.853885593799,-6.36167695427167e-06,5.024682998657227,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,165.0,244.0,5.0,7.0,30.43327057742188,-2.161952300765931,0.004640689020729471,164.2659202354735,242.0987141138083,2.6431503513539947,4.476885179960833,42862.783165309775,-8.512440296340863e-06,2.585555076599121,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,171.0,172.0,5.0,10.0,30.42993473602598,-2.201952284678772,0.08087735784117749,168.10752655996956,171.0892788637267,0.9730311876202484,0.1360920055394712,-22273.404560707975,-5.843784316289264e-06,9.109195709228516,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,191.0,157.0,5.0,10.0,30.41881532429689,-2.2102855391570513,0.011395907454836825,191.6334708842321,156.42052504326492,1.4007419197931783,1.1611741907290651,-22105.452597320425,-6.334863913884905e-06,9.918766021728516,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,212.0,164.0,5.0,10.0,30.407140045490067,-2.206396478173399,0.4025546671038251,208.73122565015785,162.35915225329535,-0.2400531708274557,0.36812002954716405,168864.60241033626,-6.572899955593783e-06,3.1068055629730225,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,200.0,214.0,5.0,10.0,30.413812052079706,-2.1786188136419926,0.010380373914618015,200.7075827286998,213.33326113348002,2.679242513652181,0.9314547262079194,5404.554331986129,-6.776859531287852e-06,9.49751091003418,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,175.0,220.0,5.0,10.0,30.42771100136699,-2.175285611844707,-0.014533461202775313,175.61268436895722,223.4150628180131,0.8026754321669196,-0.24568031335710616,-10961.236730734981,-5.106000438934328e-06,1.4184032678604126,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,197.0,184.0,5.0,10.0,30.415479705764323,-2.195285499927912,0.003828850755378682,198.88102635073702,184.19106964403392,1.4402894163618787,2.497549213485594,21821.59745316414,-6.051024218108698e-06,3.14385986328125,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
ACT-CLJ0201.6-0211,141.0,230.0,5.0,10.0,30.44661346537887,-2.169730030519939,0.029674761980444126,139.89234718792906,227.2096054116009,0.22836105519141392,1.4801149549723909,8150.958341287773,-5.896182697383516e-06,5.880088806152344,0.0,0.0,ACT-CLJ0201.6-0211,0.0007669666811339,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0
