cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps
ACT-CLJ0250.1+0008,157.0,238.0,5.120000000000001,2.0,6.0,42.54230949825352,0.1777340756438425,0.0007385097388231914,7.247853500302881e-05,157.0,238.0,3.0,7.57349729415193e-05,2.9330848308699204,156.17442312165758,238.35987575364277,0.18903408571466923,3.998079299926758,0.0,0.0002195091947214678,1348993.875
ACT-CLJ0253.5-0017,160.0,272.0,5.120000000000001,2.0,6.0,43.39451703421994,-0.23585564208636464,0.0010667660009325377,0.026998581364750862,160.0,272.0,3.0,0.0282116191922666,36.89690541405267,160.57380258552743,271.4568547573617,0.3696316019333257,36.59038543701172,0.0,0.0003756421501748264,533093.75
ACT-CLJ0254.4-0538,158.0,166.0,5.120000000000001,2.0,6.0,43.61411046495443,-5.637724234190981,5.4850407917009116e-05,0.006604650989174843,158.0,166.0,3.0,0.006901395895107876,22.618083094548542,158.63276070397512,165.74122523704858,-0.3690171562743764,24.960098266601562,0.0,0.0001512175367679447,3347530.0
ACT-CLJ0256.5+0006,168.0,177.0,5.120000000000001,2.0,6.0,44.13289331440838,0.11154220298360502,0.0001566480969237335,0.0023150986526161432,168.0,177.0,3.0,0.0024191153119403476,10.282926462170748,168.07754248015488,177.85223490204962,0.3760743792471461,12.01146411895752,0.0,0.00014971847122069448,3825836.5
ACT-CLJ0256.5+0006,204.0,276.0,5.120000000000001,2.0,6.0,44.11289323717507,0.1665421649579362,0.0011780069449813843,0.005476333666592836,204.0,276.0,3.0,0.005722383627660352,4.016634665429592,204.98437406122684,275.03385508805513,-3.4218688756227493,4.29396390914917,0.0,0.000714758294634521,169907.65625
ACT-CLJ0256.5+0006,183.0,228.0,5.120000000000001,2.0,6.0,44.12455995493496,0.1398755293452812,0.0006715674943171808,0.0016230486799031496,183.0,228.0,3.0,0.0016959717501201827,3.147026328739338,182.05230811646604,228.93999904020984,0.18011393873627127,5.0999956130981445,0.0,0.0002084998704958707,1844884.75
ACT-CLJ0256.5+0006,100.0,64.0,5.120000000000001,2.0,6.0,44.17067109215359,0.0487644315081965,0.00112443288953559,0.007491846103221178,100.0,64.0,3.0,0.00782845240850649,2.3621954917907715,100.0,64.0,3.0,2.988352060317993,0.0,0.0005430742166936398,305874.0625
ACT-CLJ0257.0-0300,266.0,102.0,5.120000000000001,2.0,6.0,44.2142998179827,-3.050916101561128,0.0011641985756648656,0.003892380278557539,266.0,102.0,3.0,0.0040672637086599465,2.1821181774139404,266.0,102.0,3.0,2.665786027908325,0.0,0.0005328645347617567,328877.25
ACT-CLJ0257.0-0300,158.0,211.0,3.2,2.0,6.0,44.27438482849599,-2.9903621007957355,0.0004766978194112587,-0.00012116676225559786,158.0,211.0,3.0,-0.00012661074703642573,4.948265981302415,158.48745281172336,211.22170576475008,0.4127088747824416,5.317285537719727,0.0,0.0001482873922213912,3066040.25
ACT-CLJ0257.0-0300,78.0,229.0,5.120000000000001,2.0,6.0,44.31888943014604,-2.9803611165314603,0.0010418415759682969,0.0004951071459800005,78.0,229.0,3.0,0.0005173521553985775,3.6863551363554965,78.72499502005682,228.95897835896014,-0.32198596059098045,4.533446788787842,0.0,0.0003739990061149001,482473.5
ACT-CLJ0258.4+0147,231.0,167.0,3.2,2.0,6.0,44.58158571161069,1.7967677491878946,0.0006707970669664193,0.023461034521460533,231.0,167.0,3.0,0.024515131474285627,67.76941559252255,231.4619370828553,166.66811911070045,0.373425289182162,50.44069290161133,0.0,0.00021793371706735343,1527353.5
ACT-CLJ0259.4-0524,233.0,240.0,5.120000000000001,2.0,6.0,44.82657375912039,-5.36686504053285,0.0010227152488874027,0.004334784112870693,233.0,240.0,3.0,0.004529544609060747,9.46468976365405,232.3205584336718,240.1053795599704,0.3678393370378313,10.88502311706543,0.0,0.0004060600185766816,328206.375
ACT-CLJ0259.4-0524,262.0,135.0,5.120000000000001,2.0,6.0,44.81038634451315,-5.425197084228533,0.0010043483018996114,0.005501389503479004,262.0,135.0,3.0,0.005748565215471443,3.539609419946057,262.8877147888066,134.43126995192574,-0.3721902846022899,3.7551937103271484,0.0,0.0004482722724787891,381857.8125
ACT-CLJ0259.8-0037,258.0,94.0,5.120000000000001,2.0,6.0,44.915268153970594,-0.6638373754016805,0.0011407033834019587,0.009176645427942276,258.0,94.0,3.0,0.009588949240628033,3.060110430804432,260.5752932481504,93.55282379186879,-0.1278690908521531,3.5048699378967285,0.0,0.0010316722327843308,68743.1171875
ACT-CLJ0300.2+0125,136.0,175.0,3.2,2.0,6.0,45.07028844976206,1.4247181430348492,0.0002818598496804805,0.017940837889909744,136.0,175.0,3.0,0.01874691413235268,58.457592997099944,136.39116506463645,175.3790223943428,-0.375248071676261,45.93809127807617,0.0,0.00016538726049475372,2523447.5
ACT-CLJ0301.5-0248,158.0,166.0,3.2,2.0,6.0,45.390564894952306,-2.810605362739421,5.485040791692745e-05,0.0029045571573078632,158.0,166.0,3.0,0.003035058003126232,10.986022904902194,158.36109864421942,165.73362204508948,0.5037658872823355,10.873100280761719,0.0,0.00014125971938483417,3604090.25
ACT-CLJ0839.5-0140,173.0,174.0,5.120000000000001,2.0,6.0,129.8744252225712,-1.6730429966128988,0.0001578439012574666,0.00222935457713902,173.0,174.0,3.0,0.0023295187819348203,13.525796377349694,173.05869636148577,173.77352712118875,0.35255431253088804,15.052486419677734,0.0,0.00012624732335098088,4452519.0
ACT-CLJ0839.5-0140,254.0,123.0,5.120000000000001,2.0,6.0,129.82940530246785,-1.7013756619412368,0.0009688995890561799,-0.00036602208274416625,254.0,123.0,3.0,-0.00038246734059221204,4.284145814516506,254.18129340513448,123.97133438729831,0.21116790360875165,3.277693033218384,0.0,0.00037275184877216816,618927.125
ACT-CLJ0839.5-0140,218.0,267.0,5.120000000000001,2.0,6.0,129.84941538632788,-1.6213761192527139,0.0011538560769051034,0.00034822331508621573,218.0,267.0,3.0,0.00036386887986296373,2.277400255203247,218.0,267.0,3.0,2.708986520767212,0.0,0.0003985932853538543,474998.625
