,cluster,ra,dec
217,ACT-CLJ1220.4-0240,185.101669312,-2.67259454727
218,ACT-CLJ1222.4-0127,185.609893799,-1.45408439636
219,ACT-CLJ1222.6-0214,185.654815674,-2.2481071949
220,ACT-CLJ1224.3+0211,186.080551147,2.20015621185
221,ACT-CLJ1238.5-0004,189.644668579,-0.0667811483145
222,ACT-CLJ1241.0+0010,190.256210327,0.176851093769
223,ACT-CLJ1245.0+0231,191.25680542,2.52457380295
224,ACT-CLJ1249.7+0145,192.429504395,1.75225174427
225,ACT-CLJ1250.6+0036,192.729782104,0.558403491974
226,ACT-CLJ1256.7+0235,194.183029175,2.59309196472
227,ACT-CLJ1258.4+0043,194.621994019,0.73120868206
228,ACT-CLJ1258.8+0059,194.714767456,0.995187461376
229,ACT-CLJ1301.2+0218,195.304458618,2.31155586243
230,ACT-CLJ1311.5-0119,197.879638672,-1.33372974396
231,ACT-CLJ1315.0+0121,198.768218994,1.35198903084
232,ACT-CLJ1322.9-0227,200.740402222,-2.46438002586
233,ACT-CLJ1324.9+0223,201.230270386,2.39822840691
234,ACT-CLJ1325.0+0209,201.253814697,2.15038585663
235,ACT-CLJ1326.8+0216,201.718231201,2.2681517601
236,ACT-CLJ1327.0+0212,201.757324219,2.20129919052
237,ACT-CLJ1328.4-0038,202.113510132,-0.644241452217
238,ACT-CLJ1331.1+0100,202.798477173,1.0029143095
239,ACT-CLJ1332.8-0006,203.217300415,-0.11638931185
240,ACT-CLJ1336.8-0104,204.213378906,-1.08573770523
241,ACT-CLJ1340.9-0152,205.242141724,-1.86975002289
242,ACT-CLJ1343.1-0000,205.775909424,-0.0144484583288
