,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
75,ACT-CLJ0239.3-0332,8.444111651736616e-05,1.0114228126007714,-0.042874008685099704,0.0028577960676726107,3059.885038489048,-0.031033854859156648,1.0098771105626625,20.0
76,ACT-CLJ0239.8-0134,9.303221050198952e-05,1.0851026288822596,0.018205975957134794,0.014288980338363054,2836.9896563617813,0.036489558321954045,1.0853588132730172,20.0
77,ACT-CLJ0240.0+0116,8.105504421954318e-05,1.0160740340566274,-0.07530614918205095,0.04574085897521417,2957.3703539562257,-0.03118598908210417,1.05099634508801,20.0
78,ACT-CLJ0240.0+0303,8.331915649346361e-05,0.9697961908377628,0.03129977279058094,0.0019051973784484073,3153.8971475156372,-0.002533342309227385,0.9922771930793064,20.0
79,ACT-CLJ0241.2-0018,8.472956531095013e-05,1.0500252202809004,-0.11832867264485841,0.0,3081.9586229743422,0.016708104485733125,1.0093622774126776,20.0
80,ACT-CLJ0241.4-0433,9.144712361701461e-05,0.9887497407481967,-0.021066765965693474,0.0,3163.72331053061,6.145792780414635e-05,0.9770388052677124,20.0
81,ACT-CLJ0242.2-0345,8.654395779261594e-05,1.0563030541512382,-0.0221123759147052,0.0,2868.3945145139714,-0.03909191572561214,1.0959754794581356,20.0
82,ACT-CLJ0242.7-0226,8.30483256693063e-05,1.0481970441569595,-0.08931779036217319,0.0,2960.507111860014,-0.009906216645791008,1.0518581152938487,20.0
83,ACT-CLJ0242.7-0450,8.382588366799681e-05,1.0045259154364368,0.013977953704052904,0.0009525986892242037,3091.7220450798377,0.02101886642199696,1.0039297299445002,20.0
84,ACT-CLJ0242.9-0250,8.77910911628274e-05,1.0493490872452633,-0.13588116961985985,0.0,3124.2102139089734,-0.07759583327355009,1.0097974524640771,20.0
85,ACT-CLJ0243.2+0256,8.992387272825141e-05,1.0534098035575874,0.011554378440139589,0.010478984872156384,2966.020511125814,0.06684579533148274,1.0634852301982631,20.0
86,ACT-CLJ0245.2+0032,9.243962876071876e-05,0.9504572664688739,-0.08754338093397668,0.007620789513793629,3103.3087683865124,-0.01614851119885931,1.014206083196791,20.0
87,ACT-CLJ0245.2-0240,0.0001358861474418335,1.2200287972052772,0.4433593509850286,0.0,2908.9652267690535,0.0020381491395688803,1.073900179920162,20.0
88,ACT-CLJ0245.2+0407,9.664545815810284e-05,0.9815290533160553,-0.17644858446959655,0.011431184270690443,3090.424205134785,-0.007472832704405072,1.0007364467074713,20.0
89,ACT-CLJ0245.7-0028,0.0001461631703561677,1.1060348928678028,-0.0013929958227792338,0.0,2932.033444371892,-0.007309912900320576,1.0662784371408338,20.0
90,ACT-CLJ0245.8-0042,0.00014817232347844397,1.093559858699258,-0.04934892174558901,0.0,2834.0596366417276,-0.0036672874157461523,1.1083393095603367,20.0
91,ACT-CLJ0246.4+0429,0.00017486529694248106,1.2796452453333877,-0.03126124931001255,0.008573388203017833,2816.562824175229,0.025425687669713874,1.1162234376081321,20.0
92,ACT-CLJ0247.3-0156,0.0001486677867910633,1.0282921985107036,-0.015916960382403086,0.0028577960676726107,2680.7642572058057,-0.04097775485035082,1.173600437902742,20.0
93,ACT-CLJ0248.0-0331,0.00013785654484962256,1.0642720359390871,0.012144325593191129,0.0019055967376183853,3046.4471203266135,-0.0031478979615967555,1.014941025848138,20.0
94,ACT-CLJ0248.2-0216,0.0001471392282100739,0.978205180064278,-0.09505140009892805,0.0,3021.367180021722,0.0088325492663215,1.014207329700739,20.0
95,ACT-CLJ0248.2+0238,0.0001535517796329849,1.112228735891645,-0.13486716284560105,0.0,2932.871407062217,-0.01040075079507447,1.056727587388353,20.0
96,ACT-CLJ0248.3+0122,0.0001462066553770214,0.9899791641689627,0.11132162943989875,0.005715592135345221,2996.765967715018,0.025778990342009027,1.0448221764981491,20.0
97,ACT-CLJ0248.3-0337,0.00013884411925293245,0.9848838296079848,-0.027576005912507518,0.017152495211595085,2988.841378866294,0.003477025049101961,1.0329748915958987,20.0
98,ACT-CLJ0248.7-0019,0.00015415782853905,1.0391282686572179,-0.06267451274726256,0.0,3006.0897172814384,0.012784737652723581,1.0408350453436348,20.0
99,ACT-CLJ0248.9-0328,0.0001562450221640751,0.9439722566265201,0.0729921638092097,0.013338795887839781,3094.0629538504973,0.015172974004748123,1.005896393369049,20.0
