,cluster,ra_deg,dec_deg,FINT_first,Total_flux_vlass,int_flux_Jy,alpha,sed_offset
264,ACT-CLJ0916.1-0024,139.06703495709704,-0.3597873494992974,nan,nan,0.0014409752153619,999,999
265,ACT-CLJ0916.1-0024,139.08425758902342,-0.3758983894544125,nan,nan,0.0010051799565139,999,999
266,ACT-CLJ0916.7+0155,139.15724168656126,1.8897438414681915,nan,nan,0.0015922292703154,999,999
267,ACT-CLJ0916.7+0155,139.19503978465806,1.964744351839872,nan,nan,0.0020179380830423,999,999
268,ACT-CLJ0916.7+0155,139.22616965041817,1.9947441292959327,nan,nan,0.0020013853705783,999,999
269,ACT-CLJ0916.8-0059,139.28649931071178,-0.9579025890754396,nan,nan,0.0015991484848911,999,999
270,ACT-CLJ0918.7+0211,139.70240837594753,2.223567539496306,5.516336,7.21837791046,0.0029659198681161,-0.1832854877422703,2.4977913682772335
271,ACT-CLJ0918.7+0211,139.67627841989074,2.1307897813770107,nan,nan,0.0021227454504067,999,999
272,ACT-CLJ0920.4+0134,140.16178507014,1.5463057665715263,nan,nan,-0.0003995756399545,999,999
273,ACT-CLJ0920.4+0134,140.06341616358404,1.5351951125640366,nan,nan,-0.0001130578130355,999,999
274,ACT-CLJ0921.0-0148,140.21805317573646,-1.8607380402434928,nan,nan,0.0047512197975499,999,999
275,ACT-CLJ0921.0-0148,140.2591866956522,-1.7446277225552531,nan,nan,-0.0001677387978124,999,999
276,ACT-CLJ0921.0-0148,140.2414003892412,-1.762960840663596,nan,nan,-0.0002085752559409,999,999
277,ACT-CLJ0922.1-0027,140.5808033145577,-0.4651506545712683,nan,nan,0.0021518628385795,999,999
278,ACT-CLJ0922.1-0027,140.56580279168642,-0.4557062798956768,46.466347,35.10108843429001,0.0019163886341865,-0.7929375157382913,8.982681848946333
279,ACT-CLJ0922.1-0027,140.58024797161295,-0.5068173055530569,nan,nan,0.0039594271169396,999,999
280,ACT-CLJ0922.1-0027,140.47746665533842,-0.4595949314621426,nan,nan,0.0,999,999
281,ACT-CLJ0922.1+0346,140.49261153280986,3.82458245461129,nan,nan,-0.0026507199626122,999,999
282,ACT-CLJ0930.4+0216,142.64341881279182,2.3297620069095792,nan,nan,0.0014986686677822,999,999
283,ACT-CLJ0930.4+0216,142.5961575036629,2.335317957770766,nan,nan,0.0025873271599581,999,999
284,ACT-CLJ0935.0+0053,143.71927361495358,0.9353626532280068,nan,nan,0.0013606220650812,999,999
285,ACT-CLJ0935.0+0053,143.77928169445212,0.9592517596482344,nan,nan,-0.0010976026231691,999,999
286,ACT-CLJ0935.2+0048,143.7969126633147,0.7330256669611733,nan,nan,0.0014656028993932,999,999
287,ACT-CLJ0935.2+0048,143.832471286697,0.7702478444639559,nan,nan,0.0009857359052376,999,999
288,ACT-CLJ0935.2+0048,143.79302285220854,0.8613589271334541,nan,nan,0.0009812558719394,999,999
289,ACT-CLJ0935.2+0048,143.80580210546805,0.8369145458599914,nan,nan,0.0012995844472618,999,999
290,ACT-CLJ0935.2+0048,143.80357972229706,0.8019145469930081,nan,nan,0.0005462914540822,999,999
291,ACT-CLJ0935.3+0233,143.78583673285846,2.5184769594489262,nan,nan,0.0071459550963603,999,999
292,ACT-CLJ0947.9-0120,146.9360011528924,-1.3363512175517196,nan,nan,0.0024922271294984,999,999
293,ACT-CLJ0951.6-0014,147.91202684063296,-0.1949089310935257,nan,nan,0.002220374011003,999,999
294,ACT-CLJ0951.6-0014,147.99147190780403,-0.2393532083650189,nan,nan,0.0005341573437742,999,999
295,ACT-CLJ0956.1+0158,148.98725239936093,1.945826627482248,nan,nan,0.0008923715174214,999,999
296,ACT-CLJ0957.6+0234,149.43161154799577,2.5179003302466185,nan,nan,0.0049541284411899,999,999
297,ACT-CLJ0957.6+0234,149.35375663681344,2.5656771757468606,nan,nan,-0.00015742817364,999,999
298,ACT-CLJ1005.5+0235,151.41959072038526,2.638179234942012,nan,nan,0.0001887865060112,999,999
299,ACT-CLJ1005.5+0235,151.3595269434456,2.6454016366677715,nan,nan,0.0005144890384179,999,999
300,ACT-CLJ1005.5+0235,151.37954856125268,2.5842908087282552,nan,10.074935754459998,0.0004232697835066,-0.9319659263189436,9.835597249767968
301,ACT-CLJ1005.5+0235,151.325604462779,2.592067179102876,nan,nan,-0.0022710553114367,999,999
302,ACT-CLJ1006.9+0255,151.77838134851962,2.909699069800911,nan,nan,0.0010469864032522,999,999
303,ACT-CLJ1020.1-0013,154.99751681099005,-0.2713648658183901,nan,nan,0.000626234414638,999,999
304,ACT-CLJ1020.1-0013,155.02585044680862,-0.2791426793037207,nan,nan,0.0010060256382954,999,999
305,ACT-CLJ1020.3-0100,155.07043337509458,-0.9677917066097294,nan,nan,0.001348158355408,999,999
306,ACT-CLJ1020.3-0100,155.10377141055764,-0.9589028481706464,nan,nan,0.0044561522762281,999,999
307,ACT-CLJ1020.3-0100,155.09543697171196,-0.9889028540957516,nan,nan,-0.0008371185843827,999,999
308,ACT-CLJ1027.8+0004,156.89801338909066,0.0393361989811419,nan,nan,-0.0045845650161033,999,999
309,ACT-CLJ1027.8+0004,156.97079114335745,-0.0056637426137794,nan,nan,0.0,999,999
310,ACT-CLJ1027.8+0004,156.91412449273935,0.0343362122849072,nan,nan,0.0008885990370695,999,999
311,ACT-CLJ1029.9+0016,157.44117385334167,0.2198252909517726,nan,nan,0.0256254114171981,999,999
312,ACT-CLJ1031.2+0031,157.7643026063729,0.5473104170921571,nan,nan,-0.0001627661749481,999,999
313,ACT-CLJ1032.1-0249,158.02800634422357,-2.767458037391905,nan,nan,0.000259878546688,999,999
314,ACT-CLJ1035.1-0248,158.72957058123845,-2.8243157350989567,nan,nan,0.0067999710115777,999,999
315,ACT-CLJ1035.1-0248,158.73902953607652,-2.7465384088459976,nan,nan,-0.0023905623603996,999,999
316,ACT-CLJ1035.1+0249,158.80958855267377,2.8789344014287703,nan,nan,0.0020408396128046,999,999
