col1,cluster,ra_1,dec_1,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
8,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018,31.18663692008905,-1.3318527372066364,0.014053002,1.48,1.43187,0.14825197,2.13,0.0,68.1,6.17,5.41,34.1,02045-01310E,2,0.9798068,17.995707,g,1,0.3819761,15.51,1995.9005,2450047.195945513,6.282179288273734,2450039.7488888893,2450052.7152777785,7,7,168.4843292587536
8,ACT-CLJ0204.7-0116,31.1982269287,-1.28650856018,31.168396899910533,-1.3473111628456678,0.014053002,3.31,4.4241505,0.14608996,4.8,1.97,18.2,7.96,5.81,11.4,02045-01310E,1,7.665697,18.834778,g,0,99.0,99.0,1995.9034,2450048.2755824085,6.058394576312523,2450039.7488888893,2450052.7152777785,7,7,243.80046891834778
10,ACT-CLJ0205.2-0439,31.3241252899,-4.65759468079,31.34800355432519,-4.578030767623073,0.014053002,2.63,2.210084,0.1606622,2.58,0.0,73.8,6.12,4.75,61.2,02045-04334T,0,99.0,99.0,-,0,99.0,99.0,1997.391,2450592.223693889,0.011545173052580385,2450592.21082176,2450592.244560186,8,5,298.97110357261727
10,ACT-CLJ0205.2-0439,31.3241252899,-4.65759468079,31.332830289084004,-4.582011060361897,0.5100105,1.06,0.57580245,0.1599033,0.0,0.0,105.3,4.78,3.97,134.3,02045-04334T,0,99.0,99.0,-,0,99.0,99.0,1997.391,2450592.2234580293,0.010797773065208115,2450592.21082176,2450592.244560186,8,5,273.888063707269
10,ACT-CLJ0205.2-0439,31.3241252899,-4.65759468079,31.231531753503546,-4.632069516788921,0.21689495,1.12,0.6050575,0.15113723,0.0,0.0,87.3,4.96,3.78,84.2,02045-04334T,1,7.57876,21.865292,g,0,99.0,99.0,1997.391,2450592.2209972846,0.007945880419318804,2450592.189872686,2450592.22650463,8,5,344.7152748104547
10,ACT-CLJ0205.2-0439,31.3241252899,-4.65759468079,31.40544203015041,-4.651113791742209,0.014053002,7.94,7.5166717,0.15361376,0.0,0.0,116.2,6.19,5.28,174.7,02045-04334T,0,99.0,99.0,-,0,99.0,99.0,1997.391,2450592.216427435,0.01020630802976392,2450592.21082176,2450592.244560186,8,5,292.7062393351616
10,ACT-CLJ0205.2-0439,31.3241252899,-4.65759468079,31.254238717399254,-4.663952839834541,0.42917714,1.0899999,0.5190477,0.15665036,0.0,0.0,113.3,4.72,3.52,143.2,02045-04334T,0,99.0,99.0,-,0,99.0,99.0,1997.391,2450592.2186113056,0.009718246394979289,2450592.189872686,2450592.22650463,8,5,251.80221529701927
11,ACT-CLJ0205.9-0307,31.5039234161,-3.12641406059,31.472295921746493,-3.0572722868902202,0.014053002,8.5,9.0254545,0.1277466,1.94,0.91,27.0,6.65,5.52,5.0,02045-03151T,2,0.18027942,21.402958,g,0,99.0,99.0,1997.3774,2450587.263368056,0.0,2450587.263368056,2450587.26550926,9,3,273.646727708523
11,ACT-CLJ0205.9-0307,31.5039234161,-3.12641406059,31.506942056311384,-3.1693027572040617,0.072347336,1.04,1.7640507,0.13641068,7.88,0.0,83.4,9.57,6.13,82.0,02075-03151T,1,7.1360273,20.909676,s,0,99.0,99.0,1997.3774,2450587.2566497168,0.013851748681546252,2450587.2260995377,2450587.26550926,9,3,154.78011535591705
11,ACT-CLJ0205.9-0307,31.5039234161,-3.12641406059,31.515865698462004,-3.1704056193116075,0.016282696,1.71,2.705548,0.1363447,5.42,3.15,88.6,7.65,7.13,86.6,02075-03151T,0,99.0,99.0,-,0,99.0,99.0,1997.3774,2450587.2564154137,0.013949598353196714,2450587.2260995377,2450587.26550926,9,3,164.08439582977968
12,ACT-CLJ0206.2-0114,31.5631523132,-1.24703037739,31.555122210716654,-1.2473916851473166,0.075942926,1.02,1.0332468,0.1357189,2.93,0.0,90.3,6.14,5.63,91.0,02075-01310E,1,1.2589571,21.95519,g,0,99.0,99.0,1995.8827,2450040.6946338736,0.2196696635549613,2450039.750868056,2450040.7476851856,10,11,28.93077445605681
