,cluster,Component_name,Component_id,ra_vlass,dec_vlass,pix_x,pix_y,amp_map,x_map,y_map,sigma_x_map,sigma_y_map,theta_map,offset_map,amp_snr,x_snr,y_snr,sigma_x_snr,sigma_y_snr,theta_snr,offset_snr
837,ACT-CLJ1210.2+0321,VLASS1QLCIR J121022.23+032620.1,33.0,182.5926436562121,3.43891785359797,98.57232667055622,300.42894718628827,-4.772082219372289e-06,98.57232667055622,300.42894718628827,3.0,3.0,0.0,1.6357304276947025e-05,-0.03684376039171992,98.57232667055622,300.428947207548,3.0000006700030153,3.0000006442228013,0.0,0.018285147542596723
838,ACT-CLJ1210.2+0321,VLASS1QLCIR J121029.51+032502.3,30.0,182.6229968996033,3.41731836954881,44.03216669143285,261.55268139741486,4.613862788710954e-07,44.03216669143285,261.55268139741486,3.0,3.0,0.0,1.6354485474155803e-05,1.534032156250646e-05,44.03216669143285,261.55268139741486,3.0,3.0,0.0,0.018263524154544
839,ACT-CLJ1220.4-0240,VLASS1QLCIR J122004.30-024002.4,0.0,185.0179481680916,-2.66735376853209,312.534889497578,171.42828328340653,0.0013608249723959214,312.53488943548194,171.42828341174734,2.9999999804102564,3.0000000937197178,0.0,-2.4784400224886592e-06,1.3361884285691532,311.1556203905551,173.68645734982923,1.4155577490768414,2.4881958091742082,-0.03135917857804704,-0.0017521296269500282
840,ACT-CLJ1220.4-0240,VLASS1QLCIR J122004.30-024002.4,76.0,185.01794934309967,-2.66735149219436,312.5327770492805,171.4323808392758,0.0013624758296374888,312.5327769873201,171.43238096798547,2.9999999805165904,3.0000000938452955,0.0,-2.479329277445355e-06,1.403520971651155,311.1473459419291,173.73505438200598,1.3903203697012976,2.4861932755283274,-0.03727853482653211,-0.0017533286082179647
841,ACT-CLJ1220.4-0240,VLASS1QLCIR J122014.75-024129.7,-32.0,185.0614734088864,-2.6915927807159306,234.27281851492393,127.80198886724088,0.00020745393375915577,234.272818515696,127.80198886486431,3.0000000002200773,2.999999999374427,0.0,-1.85738309229237e-06,1.967315247633368,234.9797263419142,126.39831387274187,3.0830976777646932,1.4928174669390133,-0.4484236877547728,-0.0020156689172218327
842,ACT-CLJ1220.4-0240,VLASS1QLCIR J122015.21-024237.7,-31.0,185.0634132157417,-2.71048243751744,230.78395792195718,93.80070334691236,2.2054105396320228e-05,230.78395846728125,93.80070352067196,2.9999964842559357,2.9999978312833577,0.0,-1.7574505100914804e-06,-3.1849969435957184,224.31469557985073,92.52818020980438,3.6812710020893142,2.206927063119226,-0.9891442407366159,8.465705729649451e-05
843,ACT-CLJ1220.4-0240,VLASS1QLCIR J122018.13-024058.6,72.0,185.0755711134932,-2.6829605536357404,208.92526613573997,143.34068852779436,0.00571323606119429,208.92525282261386,143.34068729158872,2.999999920431995,2.999995055108298,0.0,-4.823087957494562e-06,45.269692537392054,206.70020905890425,143.64005232701874,2.655672188700215,3.1624419196747144,-0.06394487376797997,-0.024233002091808713
844,ACT-CLJ1220.4-0240,VLASS1QLCIR J122026.16-023511.2,69.0,185.1090288022238,-2.58646071271481,148.7663982054063,317.0409768871516,5.039614856762269e-07,148.7663982054063,317.0409768871516,3.0,3.0,0.0,-1.7457469683303598e-06,7.169927189688006e-07,148.7663982054063,317.0409768871516,3.0,3.0,0.0,-0.0014730782180433196
845,ACT-CLJ1222.4-0127,VLASS1QLCIR J122211.87-012935.5,30.0,185.54948156659768,-1.49321874143745,270.7051542598513,91.5566762189108,0.0010609090694729318,270.7051541680833,91.55667812532944,2.999989733903723,2.9999917782513887,0.0,8.586932458695614e-06,2.1066765483216443,269.0024855349055,103.30100822184872,9.095059265571432,3.605453609510693,-0.9842760617869509,0.012507681526163768
846,ACT-CLJ1222.4-0127,VLASS1QLCIR J122221.26-012656.2,27.0,185.58858798030917,-1.4489448875947,200.33821221838932,171.25093533451405,-8.690902793545914e-05,200.33821222085322,171.25093533409193,2.9999999742022867,2.999999935239883,0.0,9.204604491601029e-06,-2.811722204145819,207.66357032439802,159.68671544570185,3.065007843689943,7.632818903369135,-0.47127220434638095,0.02058053862400588
847,ACT-CLJ1222.4-0127,VLASS1QLCIR J122225.42-012759.5,25.0,185.6059248292285,-1.46653538346425,169.14180548499147,139.5882170714905,0.00034646916937097343,169.14180548316716,139.58821707289007,2.999999998367396,2.9999999998690345,0.0,8.972753643064555e-06,1.5695069552262715,165.06314620349644,133.49021244259785,2.545109741029395,20.21850177617162,0.41551263954193707,0.011802431080844639
848,ACT-CLJ1222.6-0214,VLASS1QLCIR J122230.38-021855.4,29.0,185.62662238854944,-2.31540564395846,212.7065194433104,40.86223490460954,0.001694157740414533,212.70651818021665,40.86223473687014,2.9999952117771946,2.9999970717944455,0.0,-6.9583042377906756e-06,1.362086345218918,235.1553901482123,75.43729331468637,7.45323754630141,23.640873281991258,0.5155316825868551,-0.01112009650415936
849,ACT-CLJ1224.3+0211,VLASS1QLCIR J122417.07+021555.5,63.0,186.07115101060032,2.2654265577570896,178.907031867801,279.4867254332325,-0.013221539753489778,178.90703610485605,279.4867251924747,3.000018073418419,3.000020913493853,0.0,-6.736314337077375e-05,-2.876779595420257,193.75289041791234,274.7579868895623,19.000522390512586,13.256374495201387,0.12262062942966265,0.029944049631798288
850,ACT-CLJ1224.3+0211,VLASS1QLCIR J122424.40+021242.2,60.0,186.1017080709009,2.21173200360005,123.94590549589722,182.83669607513005,0.0005912283677169557,123.94590548673186,182.83669605611763,3.000000023541345,3.000000023187393,0.0,-7.480464200013934e-05,1.5697987142444023,119.86174211743938,162.98439217336727,69.05452085716507,13.823857860786138,-1.4134946671304522,-0.10153020248834384
851,ACT-CLJ1224.3+0211,VLASS1QLCIR J122427.84+021058.6,58.0,186.1160327852652,2.1829605081637,98.17939062795539,131.04848589917992,0.0022663005274238413,98.17939057718297,131.0484859185733,3.0000001921439607,3.000000204511876,0.0,-7.570625195348532e-05,1.5699060754125125,119.86250315660234,162.98651444814854,13.823488579107753,69.0454264503574,0.15729079258921333,-0.10152648889904614
852,ACT-CLJ1238.5-0004,VLASS1QLCIR J123835.73-000715.9,-4.0,189.64888590705127,-0.12109896116569,154.40882322224365,64.22790935394455,-0.00013324834749738358,154.40882323764282,64.22790923534693,2.999999758684159,2.9999995939781066,0.0,-3.331177431051356e-05,-2.3374657194023425,147.16355173174065,73.60939061204,3.8648150094038716,7.397435616938117,-1.1416638328263347,0.009590945403787039
853,ACT-CLJ1238.5-0004,VLASS1QLCIR J123835.73-000715.9,-5.0,189.64888938905952,-0.12110666139026,154.40255561987854,64.21404893658435,-0.00013143787011658654,154.4025556348692,64.21404881893231,2.999999759042648,2.9999995947220306,0.0,-3.331275199356222e-05,-2.3434222746916036,147.15950180057334,73.60582863861099,3.8520128132673306,7.405292351830626,-1.1404879862590567,0.009594633575541035
854,ACT-CLJ1241.0+0010,VLASS1QLCIR J124056.75+001334.5,35.0,190.23648338048432,0.22625993271835,197.50824060674745,250.93595413987305,0.0011847866526333386,197.50824064644647,250.93595400295345,2.9999994851880234,2.9999994865335284,0.0,4.909396856388727e-05,3.46127814952586,116.58593268275268,261.2343528032238,14.199111538207635,9.95393470224234,-0.27737456869001315,-0.01699786161680788
855,ACT-CLJ1245.0+0231,VLASS1QLCIR J124452.68+023102.2,63.0,191.21951961700225,2.51729943308338,229.04968870992172,148.90709269560696,0.001246666705354536,229.0496900118731,148.90709158728194,2.9999894739108544,2.9999913539030127,0.0,8.340267846763769e-05,1.519704121714206,166.92314743531796,87.02784693380332,54.53202253350823,12.350159588561068,-0.7920796209971819,-0.08867740234025777
856,ACT-CLJ1245.0+0231,VLASS1QLCIR J124453.00+023056.0,62.0,191.2208647760069,2.51556053689357,226.63082456610815,145.77701106144,0.0009427555652819618,226.6308247059192,145.7770110411857,3.000000291878453,3.0000001266266154,0.0,8.357859805549925e-05,1.3562920371371314,184.86087671851965,143.56322449153888,35.078169690485055,15.240842494622788,0.5066103166184193,-0.07167145127074066
857,ACT-CLJ1245.0+0231,VLASS1QLCIR J124503.37+023501.3,60.0,191.26405629425187,2.5837195484150297,148.96168762467127,268.4624142659732,-0.0012791819206178583,148.96168797438608,268.46241436146363,2.9999989826149513,2.9999987075275723,0.0,8.475203346336129e-05,-3.275079529402104,113.77887328967654,242.52122114541655,13.025781476203964,29.949694056235984,0.5045628904467347,0.04810174603009805
858,ACT-CLJ1245.0+0231,VLASS1QLCIR J124503.81+023239.6,59.0,191.2658761672023,2.54433600601822,145.6887503211241,197.57202338949068,0.0010411173558495168,145.68875031125765,197.57202338459402,3.0000001894628827,3.000000158982165,0.0,8.35251783744211e-05,0.8546699492668995,166.09829646943,157.48776488769846,141.18219925645505,16.90278325191916,-1.4026705970329878,-0.12045853383698278
